method,algorithm,seed,scenario,safety_mode,episodes,raw_mean_episode_hard_safety_cost,mean_episode_cost_eur,cvar90_episode_cost_eur,mean_episode_safety_cost,mean_episode_hard_safety_cost,unsafe_episode_rate,mean_projection_distance_l2,mean_weighted_projection_distance,mean_decision_time_ms,intervention_rate,pass_through_rate,partial_projection_rate,full_projection_rate
cql_adaptive_safety,cql,0,compound_extreme,adaptive,1,66.94064287033862,25061.36079284998,25061.36079284998,18.5796890789701,0.0,0.0,0.5571930138394237,0.5412790866025863,149.3600458333324,0.7916666666666666,0.20833333333333334,0.7916666666666666,0.0
cql,cql,1,in_distribution,none,1,1.3435428661563247,24451.70501062766,24451.70501062766,43.99631171288977,1.3435428661563247,1.0,0.0,0.0,0.25076666666645764,0.0,1.0,0.0,0.0
cql_ood_warning,cql,1,in_distribution,ood_warning,1,1.3435428661563247,24451.70501062766,24451.70501062766,43.99631171288977,1.3435428661563247,1.0,0.0,0.0,0.2672833333331089,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,1,in_distribution,fixed,1,1.3435428661563247,13767.640300824583,13767.640300824583,43.60411291235413,0.0,0.0,0.019124057764808338,0.019124057764808338,386.90014166666816,0.125,0.875,0.0,0.125
cql_adaptive_safety,cql,1,in_distribution,adaptive,1,1.3435428661563247,13751.570746513953,13751.570746513953,43.030391198036334,0.0,0.0,0.014343043478826681,0.014343043478826681,396.88008333333374,0.125,0.875,0.125,0.0
cql,cql,1,load_up_20,none,1,11.35341389811852,107654.14676917346,107654.14676917346,31.71001165040222,11.35341389811852,1.0,0.0,0.0,0.28971666666540347,0.0,1.0,0.0,0.0
cql_ood_warning,cql,1,load_up_20,ood_warning,1,11.35341389811852,107654.14676917346,107654.14676917346,31.71001165040222,11.35341389811852,1.0,0.0,0.0,0.32664166666585004,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,1,load_up_20,fixed,1,14.180117179711306,18102.1936218025,18102.1936218025,52.399258866395805,2.323366423695461e-07,0.0,0.37135104803989333,0.35290111321490203,255.54186666666706,0.625,0.375,0.0,0.625
cql_adaptive_safety,cql,1,load_up_20,adaptive,1,13.94487317210752,17289.697092995066,17289.697092995066,26.018836993832124,2.837223647134124e-07,0.0,0.16820404895891747,0.1612295389443307,265.6007333333334,0.625,0.375,0.625,0.0
cql,cql,1,cold_wave_extreme,none,1,48.41588576157273,402311.7191166486,402311.7191166486,58.46449783544258,48.41588576157273,1.0,0.0,0.0,0.28233750000043284,0.0,1.0,0.0,0.0
