method,scenario,metric,n,mean,std,ci95_half_width,ci95_low,ci95_high
cql_adaptive_safety,compound_extreme,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,in_distribution,mean_episode_cost_eur,5,13852.898090756815,162.06175084089602,201.22624150500957,13651.671849251805,14054.124332261825
cql_adaptive_safety,in_distribution,mean_episode_hard_safety_cost,5,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,in_distribution,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,load_up_20,mean_episode_cost_eur,5,17373.80775758016,112.13473568902376,139.2336642531558,17234.574093327006,17513.041421833317
cql_adaptive_safety,load_up_20,mean_episode_hard_safety_cost,5,9.5744236716655e-08,1.2456761379197115e-07,1.5467112138764154e-07,-5.8926884670986544e-08,2.5041535810429653e-07
cql_adaptive_safety,load_up_20,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,price_spike_low_renewable,mean_episode_cost_eur,1,42448.064370483735,0.0,0.0,42448.064370483735,42448.064370483735
cql_adaptive_safety,price_spike_low_renewable,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,price_spike_low_renewable,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,shoulder_season,mean_episode_cost_eur,1,21292.708939374115,0.0,0.0,21292.708939374115,21292.708939374115
cql_adaptive_safety,shoulder_season,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,shoulder_season,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,summer_peak,mean_episode_cost_eur,1,22014.366657063732,0.0,0.0,22014.366657063732,22014.366657063732
cql_adaptive_safety,summer_peak,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,summer_peak,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,three_day_low_renewable,mean_episode_cost_eur,1,30123.662694054612,0.0,0.0,30123.662694054612,30123.662694054612
cql_adaptive_safety,three_day_low_renewable,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,three_day_low_renewable,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,warm_low_solar_zone,mean_episode_cost_eur,1,23620.396026403556,0.0,0.0,23620.396026403556,23620.396026403556
cql_adaptive_safety,warm_low_solar_zone,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,warm_low_solar_zone,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,year_2017_winter,mean_episode_cost_eur,1,30349.126945780237,0.0,0.0,30349.126945780237,30349.126945780237
cql_adaptive_safety,year_2017_winter,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,year_2017_winter,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,year_2018_winter,mean_episode_cost_eur,1,21288.021738662337,0.0,0.0,21288.021738662337,21288.021738662337
cql_adaptive_safety,year_2018_winter,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,year_2018_winter,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,year_2019_winter,mean_episode_cost_eur,1,21220.86772523871,0.0,0.0,21220.86772523871,21220.86772523871
cql_adaptive_safety,year_2019_winter,mean_episode_hard_safety_cost,1,0.0,0.0,0.0,0.0,0.0
cql_adaptive_safety,year_2019_winter,unsafe_episode_rate,1,0.0,0.0,0.0,0.0,0.0
cql_fixed_safety,cold_wave_extreme,mean_episode_cost_eur,5,16715.14795086506,154.28032863561785,191.5643296978923,16523.583621167167,16906.71228056295
cql_fixed_safety,cold_wave_extreme,mean_episode_hard_safety_cost,5,2.1772102805073245e-07,7.038840908564663e-08,8.739875345248633e-08,1.3032227459824612e-07,3.051197815032188e-07
cql_fixed_safety,cold_wave_extreme,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
