method,algorithm,scenario,family,seed,episodes,raw_mean_episode_hard_safety_cost,mean_episode_cost_eur,cvar90_episode_cost_eur,mean_episode_safety_cost,mean_episode_hard_safety_cost,unsafe_episode_rate,mean_projection_distance_l2,mean_weighted_projection_distance,mean_decision_time_ms,intervention_rate,pass_through_rate,partial_projection_rate,full_projection_rate
iql_adaptive_safety,iql,price_spike_low_renewable,compound_stress,0,1,15.256956390136153,42418.84377232978,42418.84377232978,50.61565041130782,0.0,0.0,0.35157457801202935,0.3418553787426732,192.84085833333424,0.7083333333333334,0.0,0.0,1.0
perfect_information_lp,perfect_information_lp,cold_wave_device_fault,compound_stress,-1,1,0.0,30618.527182911515,30618.527182911515,0.0,0.0,0.0,0.0,0.0,0.34362499999988455,0.0,1.0,0.0,0.0
rolling_mpc,rolling_mpc,cold_wave_device_fault,compound_stress,-1,1,1.7763568394002505e-15,30618.52718291153,30618.52718291153,3.552713678800501e-15,1.7763568394002505e-15,0.0,0.0,0.0,7.438995833333332,0.0,1.0,0.0,0.0
rule_based,rule_based,cold_wave_device_fault,compound_stress,-1,1,0.0,31693.824410311034,31693.824410311034,0.0,0.0,0.0,0.0,0.0,0.18630416666691,0.0,1.0,0.0,0.0
cql,cql,cold_wave_device_fault,compound_stress,0,1,106.44019579763562,879696.6290241198,879696.6290241198,108.43128950749148,106.44019579763562,1.0,0.0,0.0,0.24729583333342,0.0,1.0,0.0,0.0
cql_adaptive_safety,cql,cold_wave_device_fault,compound_stress,0,1,109.35487739864145,32847.61322824747,32847.61322824747,13.718987179112116,2.8540837249124706e-07,0.0,0.8973630554974079,0.8797013571320925,102.20187083333285,0.875,0.0,0.0,1.0
iql,iql,cold_wave_device_fault,compound_stress,0,1,117.07623094008314,964072.0740102226,964072.0740102226,117.3029940005588,117.07623094008314,1.0,0.0,0.0,0.28005416666706157,0.0,1.0,0.0,0.0
iql_adaptive_safety,iql,cold_wave_device_fault,compound_stress,0,1,121.45049967063295,32515.7159066495,32515.7159066495,12.621078128138485,2.9852268035313045e-07,0.0,0.9797557474424442,0.9620806119717101,63.22033750000008,0.9583333333333334,0.0,0.0,1.0
perfect_information_lp,perfect_information_lp,three_day_low_renewable,compound_stress,-1,1,0.0,26306.657031337163,26306.657031337163,0.0,0.0,0.0,0.0,0.0,0.31300416666664904,0.0,1.0,0.0,0.0
rolling_mpc,rolling_mpc,three_day_low_renewable,compound_stress,-1,1,0.0,26573.715818672717,26573.715818672717,8.881784197001252e-16,0.0,0.0,0.0,0.0,7.421529166666829,0.0,1.0,0.0,0.0
rule_based,rule_based,three_day_low_renewable,compound_stress,-1,1,0.0,27483.894043098593,27483.894043098593,0.0,0.0,0.0,0.0,0.0,0.1976125000003511,0.0,1.0,0.0,0.0
cql,cql,three_day_low_renewable,compound_stress,0,1,51.373734268392,438024.5095207557,438024.5095207557,57.199691265257584,51.373734268392,1.0,0.0,0.0,0.26189166666590324,0.0,1.0,0.0,0.0
cql_adaptive_safety,cql,three_day_low_renewable,compound_stress,0,1,55.46214267158065,30123.662694054612,30123.662694054612,39.37596454632353,0.0,0.0,0.6283480313917001,0.6037598686962884,128.93659166666657,0.7916666666666666,0.0,0.0,1.0
iql,iql,three_day_low_renewable,compound_stress,0,1,59.34011937863522,501135.62328425597,501135.62328425597,61.55886321883048,59.34011937863522,1.0,0.0,0.0,0.2906125000006199,0.0,1.0,0.0,0.0
iql_adaptive_safety,iql,three_day_low_renewable,compound_stress,0,1,64.13071403575807,29893.981726732825,29893.981726732825,36.00773784820374,0.0,0.0,0.6889292746782303,0.6639814419453708,162.47547083333143,0.7916666666666666,0.0,0.0,1.0
