algorithm,seed,scenario,episodes,mean_episode_cost_eur,cvar90_episode_cost_eur,mean_episode_safety_cost,mean_episode_hard_safety_cost,unsafe_episode_rate,mean_decision_time_ms
iql,0,in_distribution,12,176007.76163954134,606602.3651968457,62.201043135354944,19.191714865975463,1.0,0.3263503472215786
iql,0,load_up,12,320529.2187082703,919390.0304149084,64.10309592535337,36.87374444056001,1.0,0.30701493055549123
iql,0,price_spike,12,173671.8920512378,589153.852458893,65.03349819094336,17.409060711963793,1.0,0.4003760416668476
iql,0,efficiency_drop,12,179054.4002021294,611838.3271170879,61.995623383067795,19.351849558599017,1.0,0.3464947916663124
iql,1,in_distribution,12,135977.72477689633,451373.31876255944,66.6209640070069,14.114662919253972,1.0,0.2455409722220815
iql,1,load_up,12,237998.25292788135,708159.4056175592,64.19635606925495,26.458262778704324,1.0,0.238735416667129
iql,1,price_spike,12,158170.61058730027,485436.60337683803,64.23589883871558,15.479715427439011,1.0,0.3528756944439277
iql,1,efficiency_drop,12,133400.9208999353,445856.57107868773,67.06067306827876,13.54849972432678,1.0,0.40236631944474194
iql,2,in_distribution,12,150376.59442365452,522016.3338394568,64.9963397875639,15.955003297751553,1.0,0.35253472222250715
iql,2,load_up,12,271744.5529240454,816021.0228908289,63.616808895357615,30.73436746845943,1.0,0.37049513888920416
iql,2,price_spike,12,150561.87055049304,497600.2332284799,68.55378943788463,14.50055603543701,1.0,0.4016291666669108
iql,2,efficiency_drop,12,149025.3730524462,520320.2087159996,65.42413401786331,15.548608474607187,1.0,0.4335232638893337
rule_based,-1,in_distribution,12,20824.00522379988,27064.34421222786,0.0,0.0,0.0,0.5256517361109658
rule_based,-1,load_up,12,24993.268440121465,32859.97266245195,0.013703044770249898,0.013703044770249898,0.08333333333333333,0.4808888888887037
rule_based,-1,price_spike,12,26452.562945511992,34855.203280292044,0.0,0.0,0.0,0.5038236111111082
rule_based,-1,efficiency_drop,12,22830.828114509044,29885.210586127756,0.0,0.0,0.0,0.5018093749999706
