scenario,family,episode,steps,raw_hard_safety_cost,raw_soft_operation_cost,projected_hard_safety_cost,projected_soft_operation_cost,mean_projection_distance_l2,mean_weighted_projection_distance,mean_solve_time_ms,p95_solve_time_ms,intervention_rate,fallback_rate
load_up_10,load,0,24.0,297.63575266640083,0.0,1.4637421585916854e-07,33.2185669576716,2.0771300246318183,1.7907456070604717,44.81327083333383,47.15280000000206,1.0,1.0
load_up_10,load,1,24.0,319.5934310382466,0.0,4.546246561432099e-07,31.731524480186966,2.363921642303467,2.1069703536059827,44.3215083333337,47.73423999999995,1.0,1.0
load_up_10,load,2,24.0,326.4634677277573,0.0,2.46546447257856e-07,34.668437520884666,2.3931400775909424,2.128247512029171,44.473091666666534,49.211040000000665,1.0,1.0
load_up_10,load,3,24.0,447.7975557025724,0.0,1.0700472650171378e-06,3.245138184837515e-07,2.7357173363367715,2.515426920557029,45.258587499999635,48.97650999999783,1.0,1.0
load_up_10,load,4,24.0,366.78960309758133,0.0,0.0,43.984873008094496,2.5552498499552407,2.2582170472325718,44.163704166666484,47.84565499999953,1.0,1.0
load_up_10,load,5,24.0,383.69448497902175,0.0,1.6227501475896133e-07,16.405073468664316,2.464279959599177,2.224294455082043,44.000612500000386,48.26495999999949,1.0,1.0
load_up_10,load,6,24.0,327.8416664176474,0.0,0.0,75.68053016732279,2.522588094075521,2.2272660919582368,47.39467499999946,57.17716000000194,1.0,1.0
load_up_10,load,7,24.0,289.08232489962387,0.0,8.430807785231309e-08,43.23092059951793,2.0634453495343528,1.7743652169552038,47.66398333333359,60.623719999998634,1.0,1.0
load_up_10,load,8,24.0,291.6581001471742,0.0,1.3664582088068755e-07,39.944707708770096,2.0436557779709497,1.7497137718748759,43.728191666666596,47.900465000000914,1.0,1.0
load_up_10,load,9,24.0,276.59575659084396,0.0,2.5350733068307818e-08,40.33095891941084,2.006185844540596,1.7060422814290306,43.432991666666545,46.24260999999823,1.0,1.0
load_up_10,load,10,24.0,305.3712092738077,0.0,1.168473833246253e-07,29.38058193122957,2.168816735347112,1.893235719036536,45.378066666667216,48.68518000000268,1.0,1.0
load_up_10,load,11,24.0,316.7836639759092,0.0,5.576295709630585e-07,16.061806071330277,2.210698743661245,1.9377926138079797,45.07572083333323,47.755374999999844,1.0,1.0
load_up_20,load,0,24.0,313.7844574542555,0.0,4.734769039060893e-07,15.90023889612334,2.180746073524157,1.9047246453337003,43.97719166666662,47.48892500000074,1.0,1.0
load_up_20,load,1,24.0,338.06280598259644,0.0,2.2124412435431395e-07,36.48320193708136,2.451791529854139,2.183075920940836,43.92317916666633,46.25636000000242,1.0,1.0
load_up_20,load,2,24.0,345.25054220965416,0.0,4.8322229773134495e-08,52.66329332878831,2.5388484547535577,2.235660333437176,42.94392083333361,46.2759200000022,1.0,1.0
load_up_20,load,3,24.0,489.51976410889733,0.0,1.4536527031148694,17.79753617681174,2.9459942976633706,2.7211786443239063,42.3040875000001,43.865830000003214,1.0,1.0
load_up_20,load,4,24.0,411.28765238959056,0.0,1.786172703077682e-07,5.801094984768197,2.516455262899399,2.2772272635125943,43.50648750000019,47.13883500000051,1.0,1.0
load_up_20,load,5,24.0,419.9018026216556,0.0,4.16229184452277e-08,16.45771599714613,2.599093576272329,2.3572504897488464,44.489370833333375,46.71733999999681,1.0,1.0
load_up_20,load,6,24.0,356.4820292668784,0.0,0.0,61.161344865963265,2.5552498499552407,2.2582170472325718,43.76298333333366,46.86152999999749,1.0,1.0
